Date,Open,High,Low,Close,Volume
2019-09-22 19:15:00,1.10167,1.10177,1.10177,1.10167,9
2019-09-22 19:20:00,1.10177,1.10181,1.10184,1.1017,10
2019-09-22 19:25:00,1.10181,1.10145,1.10181,1.10145,23
2019-09-22 19:30:00,1.10145,1.10162,1.10162,1.10145,22
2019-09-22 19:35:00,1.10162,1.10161,1.10161,1.1015,3
2019-09-22 19:40:00,1.10161,1.10156,1.10157,1.10156,2
2019-09-22 19:45:00,1.10156,1.10155,1.10155,1.10155,3
2019-09-22 19:50:00,1.10155,1.10155,1.10155,1.10155,2
2019-09-22 19:55:00,1.10155,1.10145,1.10155,1.10145,4
2019-09-22 20:00:00,1.10145,1.10145,1.10145,1.10145,34
2019-09-22 20:20:00,1.10145,1.10145,1.10145,1.10145,6
2019-09-22 20:25:00,1.10145,1.10145,1.10145,1.10145,3
2019-09-22 20:30:00,1.10145,1.10145,1.10145,1.10145,1
2019-09-22 20:35:00,1.10145,1.10145,1.10145,1.10145,2
2019-09-22 20:40:00,1.10145,1.10145,1.10145,1.10145,4
2019-09-22 20:45:00,1.10145,1.10145,1.10145,1.10145,3
2019-09-22 20:50:00,1.10145,1.10145,1.10145,1.10145,9
2019-09-22 20:55:00,1.10145,1.10154,1.10166,1.10145,18
2019-09-22 21:00:00,1.10154,1.1011,1.1011,1.10098,19
2019-09-22 21:05:00,1.1011,1.10149,1.10163,1.10108,174
2019-09-22 21:10:00,1.10149,1.10164,1.1017,1.10147,22
2019-09-22 21:15:00,1.10164,1.10154,1.10164,1.10154,38
2019-09-22 21:20:00,1.10154,1.10143,1.10153,1.10143,5
2019-09-22 21:30:00,1.10143,1.10139,1.10144,1.10139,11
2019-09-22 21:45:00,1.10139,1.10122,1.10122,1.10122,17
2019-09-22 21:50:00,1.10122,1.10145,1.10145,1.10119,29
2019-09-22 21:55:00,1.10145,1.1014,1.1015,1.1014,69
2019-09-22 22:00:00,1.1014,1.10171,1.1018,1.10141,325
2019-09-22 22:05:00,1.10171,1.10179,1.10185,1.1017,208
2019-09-22 22:10:00,1.10179,1.10179,1.10182,1.10172,140
2019-09-22 22:15:00,1.10179,1.10182,1.10185,1.10174,150
2019-09-22 22:20:00,1.10182,1.10173,1.10182,1.10169,101
2019-09-22 22:25:00,1.10173,1.1017,1.10177,1.10152,210
2019-09-22 22:30:00,1.1017,1.10163,1.1017,1.10162,112
